id,twitterid,annotation
5f841b117d5661cfc6af0484,1123556506870349824,['neutral']
5f841b117d5661cfc6af0486,1122467511285493760,['positiv']
5f841b117d5661cfc6af0489,1109405092153905152,"['positiv', 'positiv']"
5f841b117d5661cfc6af048d,1112394509835485184,"['negativ', 'negativ']"
5f841b117d5661cfc6af0491,1118396961974104064,['negativ']
5f841b117d5661cfc6af0492,1120583058044989440,['negativ']
5f841b117d5661cfc6af0493,1094150985784664064,['neutral']
5f841b117d5661cfc6af0497,1120484513103187968,['positiv']
5f841b117d5661cfc6af04ad,1113002111334264832,['positiv']
5f841b117d5661cfc6af04af,1122447755690020864,['neutral']
5f841b117d5661cfc6af04b4,1097935955804258304,['positiv']
5f841b117d5661cfc6af04b5,1124184995902496768,['neutral']
5f841b117d5661cfc6af04bb,1118072199812919296,"['positiv', 'neutral']"
5f841b117d5661cfc6af04bd,1080392585275981824,"['neutral', 'neutral']"
5f841b117d5661cfc6af04bf,1094664822078275584,"['negativ', 'negativ']"
5f841b117d5661cfc6af04c0,1118870739824852992,['positiv']
5f841b117d5661cfc6af04c3,1105143595743481856,['neutral']
5f841b117d5661cfc6af04cb,1108810285769474048,['negativ']
5f841b117d5661cfc6af04e8,1122772444866121728,['neutral']
5f841b117d5661cfc6af0500,1097589191205101568,['neutral']
5f841b117d5661cfc6af051a,1114801246215520256,['negativ']
5f841b117d5661cfc6af051b,1115916254580215808,['skip']
5f841b117d5661cfc6af051d,1111233069741158400,"['negativ', 'positiv']"
5f841b117d5661cfc6af0520,1082934783930499072,['skip']
5f841b117d5661cfc6af0522,1114824160121896960,['positiv']
5f841b117d5661cfc6af053d,1109052143997194240,['positiv']
5f841b117d5661cfc6af0540,1088703793640992768,"['neutral', 'neutral']"
5f841b117d5661cfc6af0542,1118010080794902528,['neutral']
5f841b117d5661cfc6af0545,1097510167770513408,['neutral']
5f841b117d5661cfc6af0546,1121354986078732288,"['neutral', 'neutral']"
5f841b117d5661cfc6af054a,1122728398474944512,['neutral']
5f841b117d5661cfc6af054b,1081133353443696640,['positiv']
5f841b117d5661cfc6af054d,1097935888062054400,"['neutral', 'neutral']"
5f841b117d5661cfc6af054f,1107693167611203584,['negativ']
5f841b117d5661cfc6af0550,1096485569461403648,"['neutral', 'neutral']"
5f841b117d5661cfc6af0552,1111718174603558912,['negativ']
5f841b117d5661cfc6af0553,1094613098290388992,['neutral']
5f841b117d5661cfc6af0555,1122976278414544896,"['neutral', 'neutral']"
5f841b117d5661cfc6af055e,1123863712555835392,"['neutral', 'neutral']"
5f841b117d5661cfc6af055f,1089790690861682688,['positiv']
5f841b117d5661cfc6af0567,1093526332800147456,"['neutral', 'neutral']"
5f841b117d5661cfc6af0572,1124940638280192000,['positiv']
5f841b117d5661cfc6af0575,1124202458996199424,"['skip', 'skip']"
5f841b117d5661cfc6af0591,1120959503221047296,['neutral']
5f841b117d5661cfc6af0592,1094837978952798208,['neutral']
5f841b117d5661cfc6af0594,1110478835114491904,['negativ']
5f841b117d5661cfc6af0598,1107756975323004928,"['negativ', 'negativ']"
5f841b117d5661cfc6af059b,1080117533473071104,['positiv']
5f841b117d5661cfc6af059d,1117377216814419968,"['negativ', 'negativ']"
5f841b117d5661cfc6af05a0,1084474852516552704,"['positiv', 'positiv']"
5f841b117d5661cfc6af05a9,1104957917604864000,['positiv']
5f841b117d5661cfc6af05ab,1118594173953818624,['positiv']
5f841b117d5661cfc6af05ae,1111202576555487232,['neutral']
5f841b117d5661cfc6af05c9,1093450367369646080,['negativ']
5f841b117d5661cfc6af05cb,1114894578211905536,"['neutral', 'positiv']"
5f841b117d5661cfc6af05cd,1112573386666979328,['neutral']
5f841b117d5661cfc6af05cf,1125686955998683136,['neutral']
5f841b117d5661cfc6af05d1,1115377607363715072,['neutral']
5f841b117d5661cfc6af05d2,1096152110067077120,['negativ']
5f841b117d5661cfc6af05d4,1118847187763568640,['negativ']
5f841b117d5661cfc6af05d5,1110888443419201536,['neutral']
5f841b117d5661cfc6af05d9,1123293257696518144,['neutral']
5f841b117d5661cfc6af05e0,1095983927020396544,['neutral']
5f841b117d5661cfc6af05e3,1093906076083208192,['neutral']
5f841b117d5661cfc6af05e4,1125268019343708160,['positiv']
5f841b117d5661cfc6af05e5,1108251550072401920,"['negativ', 'negativ']"
5f841b117d5661cfc6af05ed,1089154552954318848,['negativ']
5f841b117d5661cfc6af05ee,1110433335673872384,['neutral']
5f841b117d5661cfc6af05ef,1101760338436022272,['positiv']
5f841b117d5661cfc6af05f5,1119814595726671872,"['neutral', 'positiv']"
5f841b117d5661cfc6af05f7,1120780649407733760,['positiv']
5f841b117d5661cfc6af05f8,1120635337376710656,"['neutral', 'neutral']"
5f841b117d5661cfc6af05fc,1113068672610959360,['neutral']
5f841b117d5661cfc6af061f,1121113477534375936,['positiv']
5f841b117d5661cfc6af0621,1098113108038615040,['positiv']
5f841b117d5661cfc6af0624,1116057153033375744,"['positiv', 'positiv']"
5f841b117d5661cfc6af0626,1115159670941941760,"['negativ', 'negativ']"
5f841b117d5661cfc6af062e,1124794622973284352,['negativ']
5f841b117d5661cfc6af0632,1096442536862744576,['negativ']
5f841b117d5661cfc6af0636,1100384618690367488,['negativ']
5f841b117d5661cfc6af0637,1112686895975272448,['skip']
5f841b117d5661cfc6af063c,1107607810160975872,['neutral']
5f841b117d5661cfc6af063e,1111938069836517376,"['skip', 'skip']"
5f841b117d5661cfc6af063f,1125292092333469696,['neutral']
5f841b117d5661cfc6af0644,1117792890145705984,['negativ']
5f841b117d5661cfc6af0648,1101012670973706240,['neutral']
5f841b117d5661cfc6af0653,1116797761029124096,['neutral']
5f841b117d5661cfc6af067d,1087371377068396544,"['positiv', 'neutral']"
5f841b117d5661cfc6af0681,1124960623769550848,['neutral']
5f841b117d5661cfc6af0683,1117463748862730240,['neutral']
5f841b117d5661cfc6af06a1,1115629931302670336,['negativ']
5f841b117d5661cfc6af06a2,1116343661317566464,['positiv']
5f841b117d5661cfc6af06a4,1110932054735286272,"['negativ', 'negativ']"
5f841b117d5661cfc6af06a6,1120666443094339584,"['neutral', 'neutral']"
5f841b117d5661cfc6af06ab,1110243358088269824,['neutral']
5f841b117d5661cfc6af06ac,1117435724259889152,"['neutral', 'positiv']"
5f841b117d5661cfc6af06ad,1107530766974676992,"['neutral', 'positiv']"
5f841b117d5661cfc6af06b0,1086494825095008256,['neutral']
5f841b117d5661cfc6af06d2,1110841452534394880,['skip']
5f841b117d5661cfc6af06d3,1113010257477939200,"['negativ', 'negativ']"
5f841b117d5661cfc6af06da,1106113292899151872,['negativ']
5f841b117d5661cfc6af06dc,1118904523848867840,['negativ']
5f841b117d5661cfc6af06dd,1090558497157193728,['positiv']
5f841b117d5661cfc6af06de,1104462578888130560,['positiv']
5f841b117d5661cfc6af06df,1114248568544661504,['skip']
5f841b117d5661cfc6af06e3,1122234308180217856,['skip']
